"id","array_agg"
"03a01f06-7167-aa1b-538d-b119d7e04c1b","{NULL,NULL,NULL,NULL,NULL}"
"03a9a153-7911-7410-88cc-faef11e5597d","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"03b20cb1-de5e-0057-36f4-391ba533c299","{NULL}"
"03b4e3bf-ed9f-a990-0743-6fd4552223c6","{NULL}"
"03b85962-f238-1a1c-8faf-44027871f7ed","{NULL}"
"03bac676-cead-2a85-f3f2-d82b8b3d1a02","{NULL,NULL}"
"03c57098-7180-0387-897b-8d52937368e1","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"03c8871f-fd1d-4f7e-2143-f65ba0245cf6","{NULL,NULL,NULL,NULL,NULL}"
"03cf1fbf-69ca-2f4f-e7a0-533f46ff89b6","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"03cf9270-3c80-c9ab-ef02-2e1d6c1d4326","{NULL,NULL}"
"03d03474-cd1a-107c-4c1c-995fb8deab5d","{NULL}"
"03e35176-4a56-e04b-ff27-e7a76bf8e94e","{NULL}"
"03ecedac-03bf-8983-3e90-e7f10004dde3","{NULL,NULL,NULL,NULL,NULL}"
"03f48c9a-2343-72b8-414e-ac7f67fffd25","{NULL,NULL,NULL,NULL}"
"03fae374-12b0-03fc-ee22-0e239afb8497","{NULL}"
"0403e95b-ed65-d7e8-a88e-bcb4ac3e6a45","{NULL,NULL}"
"040779bd-4504-1c34-422f-3cd34e1a8391","{NULL}"
"040805d6-2e40-4bf3-e37c-40c86933c6f5","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"0408b3d1-c9b8-e2e0-0c7f-4f2a5cc4d479","{NULL}"
"0409c52b-2fbe-aacf-33a6-9e76a15998e5","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"040ba4f1-da21-ab2b-8640-fab468b37ac3","{NULL,NULL}"
"040c6f80-13fb-d8df-19f1-c5fbe7f387ea","{NULL,NULL,NULL,NULL}"
"041ca142-4635-0e10-0c92-d68d6616aad4","{NULL}"
"041e0428-7c2c-cec7-0a23-53cacfdd962f","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"041e1fc8-fd9c-3505-1d2e-e66dc75b3b7f","{NULL,NULL,NULL,NULL}"
"0420d20d-5ece-b514-c190-4b9076e1622c","{NULL,NULL,NULL}"
"04247010-9647-5d96-a63c-6bf82eed3553","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"042d371c-9a57-dd3c-1b89-0add02df3e60","{NULL,NULL}"
"042d41ae-5307-f7fa-65de-afb3b51b94f9","{NULL,NULL,NULL,NULL,NULL,NULL}"
"043aa7be-c700-2577-a643-c687c010a2de","{NULL}"
"04401b63-f86d-a418-d791-0e30dd96540c","{NULL,NULL,NULL,NULL,NULL}"
"0459c8a0-8b6d-167a-e84d-df568e12e7a2","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"045e86b3-bda3-b423-6840-728319eb42e9","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"04662544-b9bb-83b7-67ea-70c886538fe6","{NULL}"
"0466c0bd-3b1e-bcc4-2fc3-ef5db72d27be","{NULL,NULL,NULL,NULL,NULL,NULL}"
"047049c6-f1c1-d140-e83f-e157b2e9ab74","{NULL,NULL,NULL,NULL,NULL,NULL}"
"0471d02f-f3c8-96a2-b95b-46bc64aa751d","{NULL,NULL}"
"04730401-10a3-821b-61ee-e6bfc9a2a098","{NULL}"
"047ae3c2-f02b-5297-19b0-bda29292174d","{NULL,NULL,NULL,NULL,NULL,NULL}"
"04883b30-afb1-b389-52fb-50dd279db965","{NULL,NULL,NULL,NULL,NULL}"
"048bfc4c-984e-7bf4-99ee-301df1da79d4","{NULL}"
"048d08ee-b229-6983-d04e-b3ad7a5a2c77","{NULL,NULL,NULL,NULL}"
"0491e5dc-7fae-3601-1cc8-1c2ad85bf3d3","{NULL}"
"04929775-7ec0-7394-f17c-44f23af17883","{NULL,NULL,NULL,NULL,NULL}"
"0494cefb-075d-e0ae-bb61-dbe55cd0822c","{NULL,NULL}"
"0498f988-6b63-accf-0f11-a901f1f8c126","{NULL}"
"049cfb34-14e0-a260-869d-31e4b69e9a2a","{NULL}"
"04a000d2-4d8b-7235-4dcb-4967b535a054","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"04a20db3-bfb4-10a7-9c4e-8ecc8d7e40fc","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"04a7b90f-3a31-6110-d552-76d149ccb9e0","{NULL,NULL,NULL}"
"04ad1a8b-ba0d-d4bc-9fc3-960e31ca0c2d","{NULL,NULL,NULL,NULL}"
"04b3aa60-252c-e01e-5d51-42ea97f9303e","{NULL,NULL,NULL,NULL,NULL}"
"04b60c88-a769-c2a7-12ee-3fcd06555bff","{NULL}"
"04b75a63-5351-34e0-f7f8-243cde2c7cce","{NULL,NULL}"
"04b79871-55ea-0b3e-9d8a-ca7a675a9171","{NULL}"
"04bc9a17-3f63-232b-8cf7-819a507bc97d","{NULL}"
"04be46e1-9952-d3d2-a892-d431b2a70633","{NULL,NULL,NULL,NULL,NULL,NULL}"
"04bf774e-594b-6829-0192-eefe9aa600d2","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"04c7507f-e86d-3ee4-d1ed-a537c00250cf","{NULL}"
"04d629f9-b39c-251e-35c1-8f9b41892cb7","{NULL}"
"04db4896-3448-9ea0-62e7-831a438fa532","{NULL}"
"04db9b8d-7d15-1fd3-41db-2b33ce39c024","{NULL}"
"04dc88d6-8268-d894-b245-de9f0a249597","{NULL,NULL}"
"04dedb42-9612-fbd7-d511-212695ded2a4","{NULL,NULL}"
"04dff212-211d-13d2-a982-538070a153ed","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"04e3779f-fcda-3723-dd3f-34eb015ff7b7","{NULL,NULL}"
"04e3f88c-23c9-e903-caa5-f7513ac22e18","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"04efaac1-5220-3463-87e0-f205191f6cda","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"04f46744-6403-4dab-441a-6a618d04706f","{NULL}"
"04fcc36f-b500-02ad-9959-ce3d1c7bf863","{NULL,NULL,NULL}"
"04fd4389-ed23-769a-5d51-9b73b4bae54f","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"05016086-933d-3db1-261d-12ef2728ad0e","{NULL}"
"05068312-8708-d482-22fb-57f153543f80","{NULL,NULL,NULL}"
"0507d54f-2d31-84a3-1f64-e6d3fc47160e","{NULL,NULL,NULL,NULL,NULL,NULL}"
"050d943f-7d05-ebe1-1757-b18d620c641a","{NULL}"
"050e73f5-8bd7-7602-2a3e-7ac4bb4a606d","{NULL}"
"05156233-cc1b-8013-63e7-0a94bd2a7530","{NULL}"
"05174a2c-f45a-a626-9922-1c5a3f07ae73","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"0519ca75-cf0b-25be-c854-6226a3db6632","{NULL,NULL,NULL}"
"051e9379-b04e-b476-0501-abed2ed45003","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
